Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,41.00,36.00,20.00,2419.026343,,,,,,,,,40,967.6105373,1451.415806,,
2023,7,3,Coral City,10.8,1,LLG,PFUR,Porites,furcata,15.00,9.00,8.00,301.5928947,,,,,,,,,,0,301.5928947,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,57.00,35.00,34.00,4913.45091,,,,,,,,,,0,4913.45091,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,7.00,4.00,1.00,17.27875959,,,,,,,,,,0,17.27875959,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,8.00,5.00,1.00,20.42035225,,,,,,,,,,0,20.42035225,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,18.00,10.00,9.00,395.8406744,,,,,,,,,,0,395.8406744,,
2023,7,3,Grundys,8.5,1,LLG,OFAV,Orbicella,faveolata,34.00,41.00,6.00,706.8583471,,,,,,,,,10,70.68583471,636.1725124,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,14.00,12.00,4.00,163.362818,,,,,,,,,,0,163.362818,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,40.00,15.00,21.00,1814.269757,,,,,,,,,,0,1814.269757,,
2023,7,3,Grundys,8.5,1,LLG,PAST,Porites,astreoides,15.00,13.00,1.00,43.98229715,,,,,,,,,,0,43.98229715,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,12.00,5.00,12.00,320.4424507,,,,,,,,,,0,320.4424507,,
2023,7,3,Grundys,8.5,1,LLG,PPOR,Porites,porites,60.00,55.00,20.00,3612.831552,,,,,,,,,,0,3612.831552,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,21.00,14.00,11.00,604.7565858,,,,,,,,,,0,604.7565858,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,30.00,10.00,9.00,565.4866776,,,,,,,,,10,56.54866776,508.9380099,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,8.00,6.00,6.00,131.9468915,,,,,,,,,,0,131.9468915,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,25.00,12.00,15.00,871.7919614,,,,,,,,,,0,871.7919614,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,9.00,8.00,6.00,160.2212253,,,,,,,,,,0,160.2212253,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,10.00,5.00,7.00,164.9336143,,,,,,,,,,0,164.9336143,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,20.00,22.00,25.00,1649.336143,,,,,,,,,,0,1649.336143,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,22.00,16.00,1.00,59.69026042,,,,,,,,,,0,59.69026042,,
2023,7,3,Grundys,8.5,1,LLG,PAST,Porites,astreoides,31.00,14.00,7.00,494.8008429,,,,,,,,,,0,494.8008429,,
2023,7,3,Grundys,8.5,1,LLG,MALC,Millepora,alcicornis,5.00,1.00,9.00,84.82300165,,,,,,,,,,0,84.82300165,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,22.00,4.00,12.00,490.088454,,,,,,,,,,0,490.088454,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,41.00,17.00,17.00,1548.805178,,,,,,,,,20,309.7610356,1239.044143,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,35.00,20.00,1.00,86.39379797,,,,,,,,,,0,86.39379797,,
