Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,12.1,1,GGG,ssid,Siderastrea,siderea,12.00,15.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,10.00,8.00,4.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,malc,Millepora,alcicornis,20.00,20.00,25.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,10.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,25.00,25.00,18.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,10.00,5.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,5.00,5.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,lcuc,Leptoseris,cucullatta,25.00,15.00,5.00,,,,,,,,,,15,0,0,,
2023,7,3,Coral City,12.1,1,GGG,apal,Acropora,palmata,110.00,60.00,80.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,18.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ssid,Siderastrea,siderea,8.00,5.00,1.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ssid,Siderastrea,siderea,10.00,6.00,1.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,12.00,8.00,3.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,sint,Stephanocoenia ,intersepta,5.00,5.00,1.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,20.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,pstr,Pseudodiploria,strigosa,60.00,50.00,50.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,oann,Orbicella,annularis,65.00,70.00,55.00,,,,,,,,,,10,0,0,,
2023,7,3,Coral City,12.1,1,GGG,oann,Orbicella,annularis,60.00,30.00,30.00,,,,,,,,,,10,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,25.00,20.00,2.00,,,,,,,,,,5,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,10.00,20.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,18.00,15.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ofav,Orbicella,faveolata,70.00,45.00,50.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ssid,Siderastrea,siderea,10.00,10.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,40.00,20.00,2.00,,,,,,,,,,20,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ppor,Porites,porites,30.00,10.00,10.00,,,,,,,,,,40,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ppor,Porites,porites,10.00,5.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,mcav,Montastraea,cavernosa,40.00,30.00,40.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,10.00,1.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,ahum,Agaricia,humilis,12.00,12.00,5.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,18.00,12.00,2.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,past,Porites,astreoides,8.00,6.00,3.00,,,,,,,,,,,0,0,,
2023,7,3,Coral City,12.1,1,GGG,aaga,Agaricia,agaricites,10.00,15.00,2.00,,,,,,,,,,,0,0,,
