Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,10,1,Haley,PAST,Porites,astreoides,10.00,10.00,2.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Coral City,10,1,Haley,PAST,Porites,astreoides,10.00,10.00,2.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Coral City,10,1,Haley,PPOR,Porites,porites,30.00,30.00,30.00,2827.433388,,,,,,,,,,0,2827.433388,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,40.00,30.00,10.00,1099.557429,,,,,,,,,,0,1099.557429,,
2023,7,3,Coral City,10,1,Haley,AHUM,Agaricia,humilis,10.00,10.00,1.00,31.41592654,,,,,,,,,,0,31.41592654,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,10.00,15.00,1.00,39.26990817,,,,,,,,,,0,39.26990817,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,40.00,30.00,35.00,3848.451001,,,,,,,,,,0,3848.451001,,
2023,7,3,Coral City,10,1,Haley,OANN,Orbicella,annularis,40.00,35.00,20.00,2356.19449,,,,,,,,,,0,2356.19449,,
2023,7,3,Coral City,10,1,Haley,MCOM,Millepora,complanata,40.00,20.00,35.00,3298.672286,,,,,,,,,,0,3298.672286,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,40.00,80.00,60.00,11309.73355,,,,,,,,,,0,11309.73355,,
2023,7,3,Coral City,10,1,Haley,AHUM,Agaricia,humilis,10.00,10.00,1.00,31.41592654,,,,,,,,,,0,31.41592654,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,20.00,10.00,1.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Coral City,10,1,Haley,PPOR,Porites,porites,50.00,35.00,25.00,3337.942194,,,,,,,,,,0,3337.942194,,
2023,7,3,Coral City,10,1,Haley,DLAB,Diploria,labyrinthyformis,30.00,10.00,10.00,628.3185307,,,,,,,,,,0,628.3185307,,
2023,7,3,Coral City,10,1,Haley,EFAS,Eusmilia,fastigiata,20.00,20.00,5.00,314.1592654,,,,,,,,,,0,314.1592654,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,40.00,20.00,20.00,1884.955592,,,,,,,,,,0,1884.955592,,
2023,7,3,Coral City,10,1,Haley,OANN,Orbicella,annularis,30.00,50.00,50.00,6283.185307,,,,,,,,,,0,6283.185307,,
2023,7,3,Coral City,10,1,Haley,PAST,Porites,astreoides,30.00,10.00,2.00,125.6637061,,,,,,,,,50,62.83185307,62.83185307,,
2023,7,3,Coral City,10,1,Haley,SSID,Siderastrea,siderea,15.00,15.00,10.00,471.238898,,,,,,,,,,0,471.238898,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,100.00,100.00,60.00,18849.55592,,,,,,,,,,0,18849.55592,,
2023,7,3,Coral City,10,1,Haley,AHUM,Agaricia,humilis,20.00,10.00,1.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Coral City,10,1,Haley,OANN,Orbicella,annularis,20.00,15.00,10.00,549.7787144,,,,,,,,,,0,549.7787144,,
2023,7,3,Coral City,10,1,Haley,PPOR,Porites,porites,40.00,30.00,10.00,1099.557429,,,,,,,,,50,549.7787144,549.7787144,,
2023,7,3,Coral City,10,1,Haley,OANN,Orbicella,annularis,30.00,30.00,45.00,4241.150082,,,,,,,,,50,2120.575041,2120.575041,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,40.00,30.00,30.00,3298.672286,,,,,,,,,,0,3298.672286,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,20.00,20.00,1.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,10.00,5.00,5.00,117.8097245,,,,,,,,,,0,117.8097245,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,15.00,15.00,1.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,5.00,10.00,2.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Grundys,9,1,Haley,OFAV,Orbicella,faveolata,20.00,30.00,40.00,3141.592654,,,,,,,,,,0,3141.592654,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,20.00,15.00,10.00,549.7787144,,,,,,,,,,0,549.7787144,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,20.00,15.00,1.00,54.97787144,,,,,,,,,,0,54.97787144,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,10.00,15.00,30.00,1178.097245,,,,,,,,,,0,1178.097245,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,15.00,15.00,2.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,7,3,Grundys,9,1,Haley,MCOM,Millepora,complanata,10.00,5.00,2.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Grundys,9,1,Haley,AAGA,Agaricia,agaricites,30.00,20.00,20.00,1570.796327,,,,,,,,,60,942.4777961,628.3185307,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,15.00,30.00,30.00,2120.575041,,,,,,,5,,,106.0287521,2014.546289,,
2023,7,3,Grundys,9,1,Haley,EFAS,Eusmilia,fastigiata,20.00,10.00,3.00,141.3716694,,,,,,,,,,0,141.3716694,,
2023,7,3,Grundys,9,1,Haley,PAST,Porites,astreoides,20.00,20.00,1.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,35.00,30.00,1.00,102.1017612,,,,,5,,,,,0,102.1017612,,
2023,7,3,Grundys,9,1,Haley,OANN,Orbicella,annularis,90.00,70.00,30.00,7539.822369,,,,,,,,,,0,7539.822369,,
2023,7,3,Grundys,9,1,Haley,MALC,Millepora,alcicornis,20.00,10.00,30.00,1413.716694,,,,,,,,,,0,1413.716694,,
2023,7,3,Grundys,9,1,Haley,EFAS,Eusmilia,fastigiata,10.00,5.00,3.00,70.68583471,,,,,,,,,,0,70.68583471,,
2023,7,3,Grundys,9,1,Haley,AHUM,Agaricia,humilis,20.00,10.00,2.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,7,3,Grundys,9,1,Haley,AFRA,Agaricia,fragilis,10.00,10.00,2.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Grundys,9,1,Haley,PPOR,Porites,porites,10.00,20.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Grundys,9,1,Haley,MLAM,Mycetophellia,larmarckiana,20.00,10.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Grundys,9,1,Haley,ALAM,Agaricia,larmarcki,30.00,20.00,3.00,235.619449,,,,,,,,,,0,235.619449,,
