Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2022,September,3,Coral City,33,1,ZP,oann,Orbicella,annularis,100.00,100.00,100.00,31415.92654,,,,,,,,,,0,31415.92654,,
2022,September,3,Coral City,33,1,ZP,oann,Orbicella,annularis,15.00,9.00,15.00,565.4866776,,,,,,,,,20,113.0973355,452.3893421,,
2022,September,3,Coral City,33,1,ZP,oann,Orbicella,annularis,23.00,21.00,5.00,345.5751919,,,,,,,,,20,69.11503838,276.4601535,,
2022,September,3,Coral City,33,1,ZP,oann,Orbicella,annularis,14.00,11.00,6.00,235.619449,,,,,,,,,,0,235.619449,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,30.00,23.00,8.00,666.0176426,,,,,,,,,,0,666.0176426,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,16.00,4.00,4.00,125.6637061,,,,,,,,,,0,125.6637061,,
2022,September,3,Coral City,33,1,ZP,ofra,Orbicella,franksi,100.00,100.00,100.00,31415.92654,,,,,,,,,30,9424.777961,21991.14858,,
2022,September,3,Coral City,33,1,ZP,ofav,Orbicella,faveolata,54.00,60.00,60.00,10744.24688,,,,,,,,,50,5372.123438,5372.123438,,
2022,September,3,Coral City,33,1,ZP,ppor,Porites,porites,8.00,5.00,5.00,102.1017612,,,,,,,,,,0,102.1017612,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,24.00,16.00,4.00,251.3274123,,,,,,,,,20,50.26548246,201.0619298,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,17.00,12.00,2.00,91.10618695,,,,,,,,,,0,91.10618695,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,10.00,12.00,2.00,69.11503838,,,,,,,,,,0,69.11503838,,
2022,September,3,Coral City,33,1,ZP,aaga,Agaricia,agaricites,6.00,4.00,2.00,31.41592654,,,,,,,,,,0,31.41592654,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,6.00,6.00,2.00,37.69911184,,,,,,,,,,0,37.69911184,,
2022,September,3,Grundys,29,1,ZP,ppor,Porites,porites,100.00,30.00,30.00,6126.105675,,,,,,,,,15,918.9158512,5207.189823,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,13.00,8.00,5.00,164.9336143,,,,,,,,,,0,164.9336143,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,14.00,12.00,2.00,81.68140899,,,,,,,,,,0,81.68140899,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,32.00,28.00,4.00,376.9911184,,,,,,,,,,0,376.9911184,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,6.00,6.00,2.00,37.69911184,,,,,,,,,,0,37.69911184,,
2022,September,3,Grundys,29,1,ZP,mil,#N/A,#N/A,12.00,12.00,1.00,37.69911184,,,,,,,,,,0,37.69911184,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,22.00,20.00,4.00,263.8937829,,,,,,,,,,0,263.8937829,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,8.00,8.00,2.00,50.26548246,,,,,,,,,,0,50.26548246,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,10.00,4.00,1.00,21.99114858,,,,,,,,,,0,21.99114858,,
2022,September,3,Grundys,29,1,ZP,ofav,Orbicella,faveolata,35.00,24.00,5.00,463.3849164,,,,,,,,,,0,463.3849164,,
2022,September,3,Grundys,29,1,ZP,ofav,Orbicella,faveolata,100.00,100.00,5.00,1570.796327,,,,,,,,,,0,1570.796327,,
2022,September,3,Grundys,29,1,ZP,aaga,Agaricia,agaricites,13.00,13.00,5.00,204.2035225,,,,,,,,,,0,204.2035225,,
2022,September,3,Grundys,29,1,ZP,ofav,Orbicella,faveolata,150.00,40.00,40.00,11938.05208,,,,,,,,,,0,11938.05208,,
2022,September,3,Grundys,29,1,ZP,ofav,Orbicella,faveolata,100.00,100.00,200.00,62831.85307,,,,,,,,,15,9424.777961,53407.07511,,
2022,September,3,Grundys,29,1,ZP,mcav,Montastraea,cavernosa,40.00,30.00,10.00,1099.557429,,,,,,,,,,0,1099.557429,,
2022,September,3,Grundys,29,1,ZP,mcav,Montastraea,cavernosa,20.00,20.00,20.00,1256.637061,,,,,,,,,40,502.6548246,753.9822369,,
2022,September,3,Grundys,29,1,ZP,mcav,Montastraea,cavernosa,20.00,20.00,20.00,1256.637061,,,,,,,,,60,753.9822369,502.6548246,,
