year,site,observ,transect,depth,percent_cover,Coral Spp.,surface_area,perc_old,perc_new,,,
1999,Grundys  Gardens ,BR,10,7,0.34,OANN,2513,60,0,,,
1999,Grundys  Gardens ,BR,10,7,0.34,SSID,3770,2,0,,,
1999,Grundys  Gardens ,BR,10,7,0.34,AAGA,1257,10,0,,,
1999,Grundys  Gardens ,BR,10,7,0.34,AAGA,942,2,0,,,
1999,Grundys  Gardens ,BR,10,7,0.34,OANN,3770,5,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,PSTR,404323,7,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,OANN,72257,85,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,OANN,10367,85,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,CNAT,12252,20,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,OFAV,942,5,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,AAGA,1257,2,0,,,
1999,Grundys  Gardens ,BR,11,8,0.53,OANN,10681,15,0,,,
1999,West Point ,BR,1,17,0.33,PAST,1100,0,0,,,
1999,West Point ,BR,1,17,0.33,AAGA,1414,30,0,,,
1999,West Point ,BR,1,17,0.33,MMEA,2827,0,0,,,
1999,West Point ,BR,1,17,0.33,OFAV,4241,0,0,,,
1999,West Point ,BR,1,17,0.33,PPOR,6597,20,0,,,
1999,West Point ,BR,1,17,0.33,PSTR,3142,0,0,,,
1999,West Point ,BR,1,17,0.33,OFAV,2513,0,0,,,
1999,West Point ,BR,1,17,0.33,DLAB,1649,2,0,,,
1999,West Point ,BR,1,17,0.33,AAGA,2513,0,20,,,
1999,West Point ,BR,1,17,0.33,AAGA,3142,10,10,,,
1999,West Point ,BR,1,17,0.33,MCAV,43982,30,0,,,
1999,West Point ,BR,1,17,0.33,PPOR,9425,0,0,,,
1999,West Point ,BR,2,15,0.25,CNAT,56549,0,0,,,
1999,West Point ,BR,2,15,0.25,OANN,9425,5,5,,,
1999,West Point ,BR,2,15,0.25,PSTR,942,5,0,,,
1999,West Point ,BR,2,15,0.25,OFAV,1885,0,2,,,
1999,West Point ,BR,2,15,0.25,OANN,1885,2,0,,,
1999,West Point ,BR,2,15,0.25,OANN,2513,60,0,,,
1999,West Point ,BR,2,15,0.25,MCAV,2513,60,0,,,
1999,West Point ,BR,2,15,0.25,AAGA,1885,30,0,,,
1999,West Point ,BR,2,15,0.25,MCAV,3770,20,0,,,
1999,West Point ,BR,2,15,0.25,OANN,2199,5,0,,,
1999,West Point ,BR,3,14,0.23,OANN,2199,15,0,,,
1999,West Point ,BR,3,14,0.23,AAGA,471,2,0,,,
1999,West Point ,BR,3,14,0.23,CNAT,1571,90,0,,,
1999,West Point ,BR,3,14,0.23,OANN,8796,80,0,,,
1999,West Point ,BR,3,14,0.23,PAST,942,0,0,,,
1999,West Point ,BR,3,14,0.23,OANN,1885,5,0,,,
1999,West Point ,BR,3,14,0.23,AAGA,1257,15,0,,,
1999,West Point ,BR,3,14,0.23,OANN,3770,20,0,,,
1999,West Point ,BR,3,14,0.23,SSID,942,5,0,,,
1999,West Point ,BR,3,14,0.23,SSID,1257,5,0,,,
1999,West Point ,BR,3,14,0.23,MCAV,4712,25,0,,,
1999,West Point ,BR,4,16,0.28,MCAV,3770,2,0,,,
1999,West Point ,BR,4,16,0.28,OFRA,6283,10,0,,,
1999,West Point ,BR,4,16,0.28,MCAV,1885,5,0,,,
1999,West Point ,BR,4,16,0.28,OANN,2513,0,0,,,
1999,West Point ,BR,4,16,0.28,PAST,785,0,0,,,
1999,West Point ,BR,4,16,0.28,DLAB,3142,10,0,,,
1999,West Point ,BR,4,16,0.28,PAST,1885,40,0,,,
1999,West Point ,BR,4,16,0.28,OFRA,3142,30,0,,,
1999,West Point ,BR,4,16,0.28,PPOR,5655,15,2,,,
1999,West Point ,BR,4,16,0.28,MCAV,6283,0,0,,,
1999,West Point ,BR,5,14,0.27,MARE,393,5,0,,,
1999,West Point ,BR,5,14,0.27,MCAV,942,5,0,,,
1999,West Point ,BR,5,14,0.27,OANN,2356,0,0,,,
1999,West Point ,BR,5,14,0.27,OANN,1571,30,0,,,
1999,West Point ,BR,5,14,0.27,AAGA,471,10,0,,,
1999,West Point ,BR,5,14,0.27,PAST,471,2,0,,,
1999,West Point ,BR,5,14,0.27,OANN,10053,30,0,,,
1999,West Point ,BR,5,14,0.27,CNAT,21991,0,0,,,
1999,West Point ,BR,5,14,0.27,OANN,2513,40,0,,,
1999,West Point ,BR,5,14,0.27,MCAV,18850,50,0,,,
1999,West Point ,RG,6,12,0.18,CNAT,35186,30,10,,,
1999,West Point ,RG,6,12,0.18,OANN,4712,20,0,,,
1999,West Point ,RG,6,12,0.18,DSTO,393,0,0,,,
1999,West Point ,RG,6,12,0.18,OFAV,1885,10,0,,,
1999,West Point ,RG,6,12,0.18,MCAV,4398,0,0,,,
1999,West Point ,RG,6,12,0.18,DLAB,2749,0,80,,,
1999,West Point ,RG,6,12,0.18,MCAV,236,50,0,,,
1999,West Point ,RG,6,12,0.18,MCAV,8482,40,0,,,
1999,West Point ,RG,6,12,0.18,SSID,3927,0,0,,,
1999,West Point ,RG,6,13,0.18,PSTR,10996,40,10,,,
1999,West Point ,RG,7,13,0.19,AAGA,2356,0,0,,,
1999,West Point ,RG,7,13,0.19,OFAV,2513,10,0,,,
1999,West Point ,RG,7,13,0.19,MCAV,2356,50,0,,,
1999,West Point ,RG,7,13,0.19,PAST,393,0,0,,,
1999,West Point ,RG,7,13,0.19,MCAV,2827,30,0,,,
1999,West Point ,RG,7,13,0.19,AAGA,785,0,0,,,
1999,West Point ,RG,7,13,0.19,OFAV,3534,20,0,,,
1999,West Point ,RG,7,13,0.19,OFAV,785,0,0,,,
1999,West Point ,RG,7,13,0.19,DLAB,3299,50,10,,,
1999,West Point ,RG,7,13,0.19,DLAB,5655,20,0,,,
1999,West Point ,RG,8,13,0.24,MCAV,393,0,0,,,
1999,West Point ,RG,8,13,0.24,AAGA,2356,10,0,,,
1999,West Point ,RG,8,13,0.24,MCAV,4320,10,0,,,
1999,West Point ,RG,8,13,0.24,CNAT,22462,60,10,,,
1999,West Point ,RG,8,13,0.24,OFAV,942,10,0,,,
1999,West Point ,RG,8,13,0.24,MMEA,942,10,0,,,
1999,West Point ,RG,8,13,0.24,OFAV,393,0,0,,,
1999,West Point ,RG,8,13,0.24,AAGA,3299,10,0,,,
1999,West Point ,RG,8,13,0.24,MCAV,942,0,0,,,
1999,West Point ,RG,8,14,0.24,MCAV,2827,10,0,,,
1999,West Point ,RG,9,13,0.33,MCAV,12252,20,0,,,
1999,West Point ,RG,9,13,0.33,MCAV,5655,15,0,,,
1999,West Point ,RG,9,13,0.33,AAGA,785,0,0,,,
1999,West Point ,RG,9,13,0.33,AAGA,1178,10,0,,,
1999,West Point ,RG,9,13,0.33,MCAV,942,10,0,,,
1999,West Point ,RG,9,13,0.33,SSID,1414,0,0,,,
1999,West Point ,RG,9,13,0.33,MCAV,4398,25,10,,,
1999,West Point ,RG,9,13,0.33,DSTO,942,10,0,,,
1999,West Point ,RG,9,13,0.33,OFAV,7540,15,0,,,
1999,West Point ,RG,9,13,0.33,PPOR,1100,20,0,,,
1999,West Point ,RG,9,13,0.33,OFAV,1257,10,0,,,
1999,West Point ,RG,9,15,0.33,AAGA,5184,20,0,,,
1999,West Point ,RG,10,14,0.29,SSID,785,0,0,,,
1999,West Point ,RG,10,14,0.29,OFAV,1100,10,0,,,
1999,West Point ,RG,10,14,0.29,MCAV,1885,10,0,,,
1999,West Point ,RG,10,14,0.29,SSID,2199,10,0,,,
1999,West Point ,RG,10,14,0.29,CNAT,15708,25,0,,,
1999,West Point ,RG,10,14,0.29,PSTR,6283,60,0,,,
1999,West Point ,RG,10,14,0.29,OANN,4398,20,0,,,
1999,West Point ,RG,10,14,0.29,AAGA,1571,0,0,,,
1999,West Point ,RG,10,14,0.29,PPOR,3142,10,0,,,
1999,West Point ,RG,10,14,0.29,MCAV,4948,25,0,,,
1999,West Point ,RG,10,14,0.29,PPOR,628,10,0,,,
1999,Coral City ,BR,1,8,0.30,OFAV,28274,50,0,,,
1999,Coral City ,BR,1,8,0.30,OANN,20735,70,0,,,
1999,Coral City ,BR,1,8,0.30,OANN,26389,3,2,,,
1999,Coral City ,BR,1,8,0.30,OANN,18850,95,0,,,
1999,Coral City ,BR,1,8,0.30,OANN,15708,30,10,,,
1999,Coral City ,BR,1,8,0.30,OANN,11310,90,0,,,
1999,Coral City ,BR,1,8,0.30,MALC,25133,20,0,,,
1999,Coral City ,BR,1,8,0.30,OANN,1571,5,0,,,
1999,Coral City ,BR,1,8,0.30,APAL,50265,0,0,,,
1999,Coral City ,BR,1,10,0.30,APAL,8168,0,0,,,
1999,Coral City ,BR,2,10,0.22,OFAV,3770,30,0,,,
1999,Coral City ,BR,2,10,0.22,OFAV,28588,40,0,,,
1999,Coral City ,BR,2,10,0.22,AAGA,942,5,0,,,
1999,Coral City ,BR,2,10,0.22,AAGA,2513,5,0,,,
