Site,Coral No.,OBSERV,TRANSECT,Depth_m,Coral_cover_cm,Sand_Cover_cm,Coral_Spp.,Max  _Diameter_cm,Max_Width_cm,Max_Height_cm,Volume,per_recent,per_Transitional,per_old,Disease_1,Disease_2,Paling,Partial_Bleaching,Bleaching,Damsel_fish,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Species,Total Count,Coral Cover,% Cover,Cover Volume,DS ,WB,WP
ICON,9,DEA,4,10.3,20,0,AHUM,20,25,25,12500,0,0,10,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,10,DEA,4,10.3,35,0,PPOR,35,25,20,17500,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,DEA,5,10.3,10,0,PAST,20,20,15,6000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,DEA,5,10.3,8,0,AAGA,5,5,10,250,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,DEA,5,10.3,8,0,PAST,10,10,5,500,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,DEA,5,10.3,40,0,SSID,35,40,15,21000,0,0,0,0,0,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,DEA,5,10.3,10,0,AHUM,35,20,20,14000,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,DEA,5,10.3,5,0,AAGA,10,5,20,1000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,DEA,5,10.3,20,0,AAGA,30,95,35,99750,0,0,40,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,8,DEA,5,10.3,10,0,EFAS,10,10,10,1000,0,0,50,DS,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,9,DEA,5,10.3,5,0,AAGA,45,30,25,33750,0,0,50,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,DEA,6,9.8,16,0,PAST,20,15,15,4500,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,DEA,6,9.8,25,0,AHUM,30,5,10,1500,0,0,0,DS,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,DEA,6,9.8,10,0,AAGA,10,12,18,2160,0,0,0,DS,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,DEA,6,9.8,5,0,AHUM,10,10,2,200,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,DEA,6,9.8,35,0,PSTR,72,62,35,156240,0,0,50,GA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,DEA,6,9.8,20,0,AAGA,35,40,30,42000,5,5,50,DS,WP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,DEA,6,9.8,4,0,DLAB,15,15,5,1125,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,8,DEA,6,9.8,25,0,SSID,35,30,30,31500,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,9,DEA,6,9.8,3,0,PAST,15,12,8,1440,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,10,DEA,6,9.8,18,0,AAGA,15,20,15,4500,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,11,DEA,6,9.8,3,0,MALC,1,10,20,200,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,DEA,7,9.5,25,20,PPOR,42,35,35,51450,10,0,30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,DEA,7,9.5,5,40,AAGA,8,5,8,320,0,0,0,0,0,PB,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,DEA,7,9.5,7,50,AAGA,25,8,30,6000,0,0,10,CILLIATES,0,PB,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,DEA,7,9.5,17,30,OFAV,15,20,30,9000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,DEA,7,9.5,5,0,PPOR,8,5,5,200,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,DEA,7,9.5,20,0,PAST,10,25,15,3750,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,DEA,7,9.5,10,0,PAST,10,12,12,1440,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,KC,8,10.668,75,0,SSID,115,59,30,203550,0,0,1,0,0,90,0,0,0,1GORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,KC,8,10.668,3,0,SRAD,11,5,2,110,0,0,10,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,KC,8,10.668,12,5,MCAV,31,21,22,14322,0,0,5,0,0,0,0,0,0,5MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,KC,8,10.668,16,12,PAST,26,18,20,9360,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,KC,8,10.668,13,10,AAGA,22,20,28,12320,0,0,15,0,0,0,0,0,0,10MA; 1GORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,KC,8,10.668,5,0,AAGA,12,6,2,144,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,KC,8,10.668,10,0,PAST,15,11,3,495,0,0,5,0,0,0,0,0,0,5MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,8,KC,8,10.668,3,0,AAGA,4,3,3,36,50,10,5,0,0,0,0,0,0,25CILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,9,KC,8,10.668,16,0,AAGA,27,25,18,12150,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,10,KC,8,10.668,3,0,PPOR,6,3,5,90,5,0,10,0,0,0,0,0,0,5PFB; 10MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,11,KC,8,10.668,2,0,AAGA,7,7,3,147,0,0,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,12,KC,8,10.668,0,0,PAST,52,41,36,76752,0,0,100,0,0,0,0,0,0,100TA & MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,13,KC,8,10.668,10,0,AAGA,21,12,15,3780,0,5,50,DS,0,0,0,0,0,25MA; 25TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,KC,9,9.144,4,0,OFAV,18,15,23,6210,5,0,5,0,0,5,0,0,0,10MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,KC,9,9.144,4,0,AAGA,4,3,1,12,0,0,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,KC,9,9.144,11,0,AAGA,32,20,20,12800,0,0,5,DS,0,0,0,0,0,5MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,KC,9,9.144,40,0,PPOR,49,42,37,76146,1,0,40,0,0,0,0,0,0,20MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,KC,9,9.144,4,0,AAGA,5,1,3,15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,KC,9,9.144,10,0,AAGA,12,6,10,720,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,KC,9,9.144,10,0,PAST,11,5,4,220,0,0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,8,KC,9,9.144,5,0,PAST,6,5,7,210,0,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,9,KC,9,9.144,7,0,AAGA,42,25,32,33600,5,5,5,DS,0,0,0,0,0,1GORG; 1CILIATES; 10MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,10,KC,9,9.144,9,0,PFUR,10,6,4,240,0,0,1,0,0,0,0,0,0,1MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,11,KC,9,9.144,3,0,AAGA,9,8,12,864,0,5,5,DS,0,0,1,0,0,1SP; 1MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,12,KC,9,9.144,23,0,PAST,42,25,33,34650,0,0,1,0,0,0,0,0,0,1MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,13,KC,9,9.144,8,0,AAGA,33,21,24,16632,5,10,20,DS,0,5,0,0,0,5MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,1,SN,1,10,30,,ACER,60,6,45,16200,10,5,50,WB,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,2,SN,1,10,40,,PPOR,40,4,8,1280,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,3,SN,1,10,20,,AAGA,20,1,10,200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,4,SN,1,10,5,,MCAV,15,5,25,1875,100 P,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,5,SN,1,10,30,,PAST,50,20,5,5000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,6,SN,1,10,20,,AAGA,20,8,20,3200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,7,SN,1,10,10,,AAGA,10,20,20,4000,0,0,60,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,8,SN,1,10,6,,PAST,10,8,10,800,0,0,0,0,0,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,1,SM,2,8.4,5,60,AAGA,2,7,10,140,10,3,20,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,2,SM,2,8.4,5,,OFAV,5,10,38,1900,0,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,3,SM,2,8.4,20,,OFAV,25,10,4,1000,0,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,4,SM,2,8.4,30,,OFAV,47,28,35,46060,0,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,5,SM,2,8.4,15,,AAGA,22,5,25,2750,5,10,10,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,6,SM,2,8.4,5,,AAGA,30,5,1,150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,7,SM,2,8.4,9,,AAGA,18,5,25,2250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,8,SM,2,8.4,2,,PFUR,10,7,12,840,0,0,0,0,0,0,0,0,0,FLUORECENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,9,SM,2,8.4,1,,OANN,10,8,13,1040,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,1,SM,3,10.5,25,,OANN,30,50,25,37500,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,2,SM,3,10.5,1,,MALC,18,2,20,720,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,3,SM,3,10.5,5,,MCAV,14,5,7,490,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,4,SM,3,10.5,3,,OFAV,45,22,35,34650,10,0,5,0,0,0,0,0,0,ENCRUSTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,5,SM,3,10.5,10,,AAGA,18,7,15,1890,0,5,0,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,6,SM,3,10.5,12,,SSID,25,12,12,3600,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,1,DEA,4,33,40,,OANN,75,100,65,487500,0,0,70,0,0,0,0,0,0,PEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,2,DEA,4,33,15,,AAGA,21,10,25,5250,0,0,5,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,3,DEA,4,33,5,,AAGA,10,15,8,1200,0,0,0,0,0,0,5,0,"3, LONGIFIN",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,4,DEA,4,33,10,,PAST,10,10,12,1200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,5,DEA,4,33,10,,MDEC,10,50,10,5000,0,12,40,DS,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,6,DEA,4,33,15,,PPOR,35,35,10,12250,0,10,80,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,7,DEA,4,33,10,,AAGA,20,20,10,4000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,8,DEA,4,33,20,,PPOR,60,70,10,42000,15,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,9,DEA,4,33,15,,OANN,25,15,10,3750,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,10,DEA,4,33,10,,ATEN,30,20,5,3000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,1,DEA,5,33,15,,OFAV,10,25,23,5750,0,0,0,0,0,0,0,0,"2, 3 SPOT",PALE SPOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,2,DEA,5,33,10,,AAGA,20,10,14,2800,0,0,0,0,0,100,0,0,"1, LONGFIN",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,3,DEA,5,33,40,,MCAV,40,70,40,112000,0,0,80,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,4,DEA,5,33,25,,PPOR,55,60,35,115500,0,0,35,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,5,DEA,5,33,35,,OANN,40,55,35,77000,10,0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,6,DEA,5,33,5,,AAGA,40,35,10,14000,0,0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,7,DEA,5,33,26,,PPOR,20,10,10,2000,0,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,8,DEA,5,33,60,,CNAT,60,30,5,9000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,9,DEA,5,33,10,,OANN,45,50,50,112500,0,0,90,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,10,DEA,5,33,10,,MCAV,50,80,65,260000,0,0,80,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,11,DEA,5,33,35,,SSID,60,35,25,52500,0,0,30,0,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,12,DEA,5,33,65,,OANN,65,75,65,316875,0,0,50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,13,DEA,5,33,25,,PPOR,30,30,10,9000,0,0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWS,14,DEA,5,33,12,,ATEN,20,10,12,2400,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
