Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,July,3,Coral City,36,1,JLR,AAGA,Agaricia,agaricites,7.50,1.00,5.00,66.75884389,,,,,,,,,,0,66.75884389,,
2023,July,3,Coral City,36,1,JLR,SSID,Siderastrea,siderea,2.50,2.50,25.00,196.3495408,,,,,,,,,,0,196.3495408,,
2023,July,3,Coral City,36,1,JLR,SINT,Stephanocoenia ,intersepta,6.00,2.50,1.00,13.35176878,,,,,,,,,,0,13.35176878,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,4.00,2.50,2.50,25.52544031,,,,,,,,,,0,25.52544031,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,5.00,5.00,1.00,15.70796327,,,,,,,,,,0,15.70796327,,
2023,July,3,Coral City,36,1,JLR,OFAV,Orbicella,faveolata,10.00,7.50,7.50,206.1670179,,,,,,,,,,0,206.1670179,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,25.00,15.00,12.50,785.3981634,,,,,,,,,,0,785.3981634,,
2023,July,3,Coral City,36,1,JLR,AAGA,Agaricia,agaricites,10.00,5.00,7.50,176.7145868,,,,,,,,,,0,176.7145868,,
2023,July,3,Coral City,36,1,JLR,MALC,Millepora,alcicornis,6.00,1.00,12.50,137.4446786,,,,,,,,,,0,137.4446786,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,6.00,6.00,4.00,75.39822369,,,,,,,,,,0,75.39822369,,
2023,July,3,Coral City,36,1,JLR,OANN,Orbicella,annularis,25.00,20.00,25.00,1767.145868,,,,,,,,,,0,1767.145868,,
2023,July,3,Coral City,36,1,JLR,MALC,Millepora,alcicornis,15.00,1.00,6.00,150.7964474,,,,,,,,,,0,150.7964474,,
2023,July,3,Coral City,36,1,JLR,MCAV,Montastraea,cavernosa,10.00,6.00,10.00,251.3274123,,,,,,,,,,0,251.3274123,,
2023,July,3,Coral City,36,1,JLR,MCAV,Montastraea,cavernosa,7.50,7.50,2.50,58.90486225,,,,,,,,,,0,58.90486225,,
2023,July,3,Coral City,36,1,JLR,SSID,Siderastrea,siderea,17.50,22.50,15.00,942.4777961,,,,,,,,,,0,942.4777961,,
2023,July,3,Coral City,36,1,JLR,OFAV,Orbicella,faveolata,32.50,15.00,15.00,1119.192383,,,,,,,,,,0,1119.192383,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,20.00,10.00,22.50,1060.287521,,,,,,,,,,0,1060.287521,,
2023,July,3,Coral City,36,1,JLR,SSID,Siderastrea,siderea,22.50,10.00,17.50,893.3904109,,,,,,,,,,0,893.3904109,,
2023,July,3,Coral City,36,1,JLR,OFAV,Orbicella,faveolata,30.00,15.00,25.00,1767.145868,,,,,,,,,,0,1767.145868,,
2023,July,3,Coral City,36,1,JLR,OFAV,Orbicella,faveolata,5.00,5.00,5.00,78.53981634,,,,,,,,,,0,78.53981634,,
2023,July,3,Coral City,36,1,JLR,AAGA,Agaricia,agaricites,12.50,7.50,6.00,188.4955592,,,,,,,,,,0,188.4955592,,
2023,July,3,Coral City,36,1,JLR,SINT,Stephanocoenia ,intersepta,5.00,5.00,1.00,15.70796327,,,,,,,,,,0,15.70796327,,
2023,July,3,Coral City,36,1,JLR,OFAV,Orbicella,faveolata,27.50,25.00,7.50,618.5010537,,,,,,,,,,0,618.5010537,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,27.50,10.00,10.00,589.0486225,,,,,,,,,,0,589.0486225,,
2023,July,3,Coral City,36,1,JLR,AAGA,Agaricia,agaricites,7.50,7.50,11.00,259.1813939,,,,,,,,,,0,259.1813939,,
2023,July,3,Coral City,36,1,JLR,MARE,Mancina,areolata,5.00,5.00,6.00,94.24777961,,,,,,,,,,0,94.24777961,,
2023,July,3,Coral City,36,1,JLR,AHUM,Agaricia,humilis,5.00,5.00,1.00,15.70796327,,,,,,,,,,0,15.70796327,,
2023,July,3,Coral City,36,1,JLR,SSID,Siderastrea,siderea,7.50,7.50,5.00,117.8097245,,,,,,,,,,0,117.8097245,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,5.00,5.00,2.50,39.26990817,,,,,,,,,,0,39.26990817,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,7.50,5.00,12.50,245.4369261,,,,,,,,,,0,245.4369261,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,10.00,10.00,7.50,235.619449,,,,,,,,,,0,235.619449,,
2023,July,3,Coral City,36,1,JLR,DSTO,Dichocoenia,stokesii,7.65,5.00,1.00,19.87057353,,,,,,,,,,0,19.87057353,,
2023,July,3,Coral City,36,1,JLR,MCAV,Montastraea,cavernosa,5.00,7.50,5.00,98.17477042,,,,,,,,,,0,98.17477042,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,15.00,15.00,15.00,706.8583471,,,,,,,,,,0,706.8583471,,
2023,July,3,Coral City,36,1,JLR,AAGA,Agaricia,agaricites,12.50,20.00,15.00,765.7632093,,,,,,,,,,0,765.7632093,,
2023,July,3,Coral City,36,1,JLR,PAST,Porites,astreoides,7.50,7.50,1.00,23.5619449,,,,,,,,,,0,23.5619449,,
2023,July,3,Coral City,36,1,JLR,PSTR,Pseudodiploria,strigosa,17.50,17.50,1.00,54.97787144,,,,,,,,,,0,54.97787144,,
2023,July,3,Coral City,36,1,JLR,DLAB,Diploria,labyrinthyformis,7.50,5.00,2.50,49.08738521,,,,,,,,,,0,49.08738521,,
2023,July,3,Coral City,36,1,JLR,SSID,Siderastrea,siderea,15.00,12.50,10.00,431.9689899,,,,,,,,,30,129.590697,302.3782929,,
